author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Камея,developer,https://novosibirsk.cian.ru/sale/flat/287432146/,Новосибирск,sale,flat,2,25,4,90.03,-1,0,12390000,Дзержинский, Гоголя,222,Березовая Роща,Рубин
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/302393508/,Новосибирск,sale,flat,11,23,3,79.5,-1,0,12720000,Калининский,,,Маршала Покрышкина,Калининский квартал ЖК
Девелопер Юнити,developer,https://novosibirsk.cian.ru/sale/flat/303476067/,Новосибирск,sale,flat,3,13,3,75.52,-1,0,12990000,Центральный, Семьи Шамшиных,6/1,Площадь Ленина,Unity Center
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/302395155/,Новосибирск,sale,flat,10,23,3,83.3,-1,0,13078100,Калининский,,,Маршала Покрышкина,Калининский квартал ЖК
РимЭлитСтрой,developer,https://novosibirsk.cian.ru/sale/flat/296506777/,Новосибирск,sale,flat,6,19,2,74.4,-1,0,13235807,Октябрьский,Садовая ,17,Октябрьская,Римский квартал
ПОЛЯКОВ,developer,https://novosibirsk.cian.ru/sale/flat/300135494/,Новосибирск,sale,flat,17,18,4,111.26,-1,0,13200000,Калининский, Декоративный Питомник,,Заельцовская,Квартал Основатели
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/299767856/,Новосибирск,sale,flat,4,10,3,74.6,-1,0,13650000,Заельцовский,Холодильная ,17,Гагаринская,
Группа Мета,developer,https://novosibirsk.cian.ru/sale/flat/300588971/,Новосибирск,sale,flat,4,24,3,68.24,-1,0,13692000,Советский,Академгородок мкр,,Студенческая,Пульсар
Группа Мета,developer,https://novosibirsk.cian.ru/sale/flat/297363344/,Новосибирск,sale,flat,2,25,3,71.2,-1,0,13694620,Октябрьский,Военная ,51,Октябрьская,Тихомиров
SIBWILL,representative_developer,https://novosibirsk.cian.ru/sale/flat/302827206/,Новосибирск,sale,flat,9,21,3,81.1,-1,0,13600000,Заельцовский,,,Заельцовская,Расцветай на Красном ЖК
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/304287373/,Новосибирск,sale,flat,5,5,3,80.5,-1,0,13800000,Железнодорожный, Урицкого,13,Площадь Ленина,
Дом-Строй,developer,https://novosibirsk.cian.ru/sale/flat/300612361/,Новосибирск,sale,flat,18,25,2,55.61,-1,0,13800000,Железнодорожный,Нарымская ,22,Гагаринская,Прованс
Девелопер Юнити,developer,https://novosibirsk.cian.ru/sale/flat/303509671/,Новосибирск,sale,flat,3,13,3,76.6,-1,0,13950000,Центральный, Семьи Шамшиных,6/1,Площадь Ленина,Unity Center
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/296560887/,Новосибирск,sale,flat,21,29,4,93.07,-1,0,14053570,Дзержинский,Закаменский мкр,20,Березовая Роща,Менделеев
Дом-Строй,developer,https://novosibirsk.cian.ru/sale/flat/300612335/,Новосибирск,sale,flat,10,25,3,59.98,-1,0,14000000,Железнодорожный,Нарымская ,22,Гагаринская,Прованс
Группа Мета,developer,https://novosibirsk.cian.ru/sale/flat/297363561/,Новосибирск,sale,flat,8,29,3,71.7,-1,0,14091000,Октябрьский,Военная ,51,Октябрьская,Тихомиров
Астон. Стройтрест 43,developer,https://novosibirsk.cian.ru/sale/flat/297549457/,Новосибирск,sale,flat,25,26,4,135.27,-1,0,14210000,Кировский, Аникина,6,Студенческая,Астон. Шесть звёзд
Скандиа,developer,https://novosibirsk.cian.ru/sale/flat/302440801/,Новосибирск,sale,flat,3,8,3,92.46,-1,0,14240000,Заельцовский,Кедровая ,с45к1,Заельцовская,Премиум-квартал Новый Кедровый
Скандиа,developer,https://novosibirsk.cian.ru/sale/flat/302440811/,Новосибирск,sale,flat,3,8,3,92.9,-1,0,14410000,Заельцовский,Кедровая ,с45к1,Заельцовская,Премиум-квартал Новый Кедровый
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/279447523/,Новосибирск,sale,flat,13,29,3,106.9,-1,0,14431500,Заельцовский,Сухарная ,105/1,Гагаринская,Бирюзовая жемчужина-2
БЭЛ Девелопмент,developer,https://novosibirsk.cian.ru/sale/flat/302431908/,Новосибирск,sale,flat,7,14,2,50.4,-1,0,14568725,Центральный, Чаплыгина,54,,Комплекс клубных резиденций Маяковский
Скандиа,developer,https://novosibirsk.cian.ru/sale/flat/302440794/,Новосибирск,sale,flat,3,8,3,94.14,-1,0,14600000,Заельцовский,Кедровая ,с45к1,Заельцовская,Премиум-квартал Новый Кедровый
